CHROM	BIN_START	N_SNPS	TajimaD	Region
2A	240000	2	-1.33876	Central
2A	250000	9	-0.966087	Central
2A	270000	5	-0.528388	Central
2A	280000	20	0.309958	Central
2A	380000	1	-0.492256	Central
2A	390000	17	1.01614	Central
2A	470000	1	-0.908196	Central
2A	510000	39	-0.435529	Central
2A	520000	14	2.29786	Central
2A	530000	46	0.699044	Central
2A	550000	7	-1.42637	Central
2A	560000	30	-0.457027	Central
2A	580000	81	-1.13209	Central
2A	610000	7	-2.06046	Central
2A	620000	14	-1.35067	Central
2A	630000	21	-0.461437	Central
2A	650000	4	-1.18301	Central
2A	660000	62	0.42311	Central
2A	680000	3	-1.07392	Central
2A	690000	3	-1.47507	Central
2A	710000	1	-0.492256	Central
2A	730000	4	-0.259731	Central
2A	740000	7	-0.586613	Central
2A	810000	1	-0.737827	Central
2A	820000	2	-0.770381	Central
2A	890000	8	-1.60831	Central
2A	960000	3	-0.232177	Central
2A	970000	2	-0.147399	Central
2A	1100000	5	-0.838328	Central
2A	1110000	1	-0.413061	Central
2A	1160000	1	-0.335197	Central
2A	1170000	1	-0.492256	Central
2A	1180000	4	-0.726881	Central
2A	1200000	26	-0.150333	Central
2A	1210000	3	-1.5208	Central
2A	1220000	12	-1.33924	Central
2A	1270000	3	-0.561753	Central
2A	1280000	47	1.02665	Central
2A	1360000	9	-0.630125	Central
2A	1370000	13	-0.816018	Central
2A	1490000	2	-1.33876	Central
2A	1500000	1	-0.822346	Central
2A	1580000	2	-0.0578897	Central
2A	1590000	1	-0.413061	Central
2A	1600000	1	-0.654639	Central
2A	1630000	23	1.61695	Central
2A	1640000	97	3.03384	Central
2A	1680000	20	-0.380935	Central
2A	1690000	1	-0.654639	Central
2A	1700000	4	0.0888198	Central
2A	1750000	4	-0.998298	Central
2A	1770000	62	-0.850016	Central
2A	1780000	43	-1.07416	Central
2A	1850000	1	-0.492256	Central
2A	1870000	3	0.342135	Central
2A	1880000	3	-0.0953199	Central
2A	1900000	2	-1.22151	Central
2A	1910000	11	-0.885885	Central
2A	1920000	2	-0.941791	Central
2A	1980000	2	-0.995944	Central
2A	2150000	2	-0.718018	Central
2A	2170000	2	-0.718018	Central
2A	2180000	3	-0.956265	Central
2A	2210000	6	-0.644225	Central
2A	2220000	2	-1.10694	Central
2A	2240000	2	-1.28013	Central
2A	2260000	6	-1.54758	Central
2A	2270000	4	-1.21404	Central
2A	2320000	43	0.617679	Central
2A	2330000	15	0.244045	Central
2A	2350000	1	-0.492256	Central
2A	2360000	57	-0.129219	Central
2A	2370000	75	0.410811	Central
2A	2380000	34	0.355058	Central
2A	2400000	9	-1.01705	Central
2A	2410000	5	0.389702	Central
2A	2470000	5	-0.544359	Central
2A	2480000	22	0.327723	Central
2A	2490000	32	-0.744803	Central
2A	2630000	10	-1.76879	Central
2A	2640000	7	0.228148	Central
2A	2650000	90	0.356388	Central
2A	2660000	24	0.507364	Central
2A	2690000	7	-0.269958	Central
2A	2700000	9	1.48119	Central
2A	2730000	34	-0.633739	Central
2A	2760000	6	-1.30426	Central
2A	2780000	1	-0.737827	Central
2A	2790000	7	0.57452	Central
2A	2810000	2	-0.947161	Central
2A	2830000	5	-1.5745	Central
2A	2850000	1	0.172582	Central
2A	2860000	1	-0.492256	Central
2A	2870000	22	0.862834	Central
2A	2880000	55	-0.188116	Central
2A	2890000	4	-1.21346	Central
2A	2900000	3	-1.43003	Central
2A	2910000	83	-0.0766236	Central
2A	2960000	19	-0.64927	Central
2A	2980000	27	-0.467029	Central
2A	2990000	2	-0.938211	Central
2A	3000000	1	-0.413061	Central
2A	3100000	40	-0.899059	Central
2A	3110000	32	-0.795338	Central
2A	3330000	30	-0.583382	Central
2A	3340000	6	-0.411024	Central
2A	3350000	1	-0.995377	Central
2A	3360000	1	-0.822346	Central
2A	3390000	1	-0.822346	Central
2A	3440000	4	-0.893617	Central
2A	3500000	2	-1.22151	Central
2A	3510000	26	-0.766291	Central
2A	3520000	6	-1.35614	Central
2A	3530000	39	1.6696	Central
2A	3540000	5	2.14927	Central
2A	3590000	12	1.896	Central
2A	3620000	8	-0.362789	Central
2A	3630000	22	0.727731	Central
2A	3640000	17	-0.0197304	Central
2A	3710000	13	0.0222158	Central
2A	3750000	41	-0.503015	Central
2A	3760000	54	0.573675	Central
2A	3790000	38	0.177853	Central
2A	3800000	17	-0.367941	Central
2A	3810000	4	0.849136	Central
2A	3820000	14	-1.07667	Central
2A	3830000	7	0.103966	Central
2A	3840000	38	1.3398	Central
2A	3850000	28	0.141705	Central
2A	3860000	1	-0.995377	Central
2A	3870000	1	-0.572782	Central
2A	3900000	3	-0.373923	Central
2A	3910000	2	-0.771276	Central
2A	3950000	10	2.06633	Central
2A	3960000	37	1.57554	Central
2A	3970000	67	2.26869	Central
2A	4000000	1	0.0341571	Central
2A	4020000	4	-1.06006	Central
2A	4030000	23	1.68759	Central
2A	4040000	4	-0.536947	Central
2A	4080000	17	-0.633184	Central
2A	4090000	94	2.83367	Central
2A	4130000	3	-0.184696	Central
2A	4140000	10	0.0452456	Central
2A	4160000	13	-1.58806	Central
2A	4170000	3	-0.693024	Central
2A	4180000	22	-1.70736	Central
2A	4200000	3	1.13675	Central
2A	4210000	3	-0.279309	Central
2A	4220000	8	-0.945137	Central
2A	4290000	3	-1.11826	Central
2A	4310000	16	-1.10299	Central
2A	4320000	9	-1.45149	Central
2A	4340000	8	0.113044	Central
2A	4390000	2	-0.93642	Central
2A	4400000	10	-1.3696	Central
2A	4610000	2	-0.825429	Central
2A	4620000	7	-1.58676	Central
2A	4630000	2	-1.16377	Central
2A	4660000	1	-0.737827	Central
2A	4740000	18	-0.852304	Central
2A	4760000	2	-0.881372	Central
2A	4770000	1	-0.908196	Central
2A	4790000	2	-0.404737	Central
2A	4830000	7	-0.779086	Central
2A	4840000	20	-1.19155	Central
2A	4900000	12	-1.53577	Central
2A	4920000	18	-0.779309	Central
2A	4930000	7	-0.440783	Central
2A	4940000	1	-0.908196	Central
2A	4950000	23	-1.20193	Central
2A	4960000	13	-1.8233	Central
2A	4970000	72	-0.270603	Central
2A	4990000	5	-1.48591	Central
2A	5080000	1	-0.492256	Central
2A	5090000	2	-1.0492	Central
2A	5100000	2	-1.28013	Central
2A	5130000	3	-1.56654	Central
2A	5180000	8	1.82173	Central
2A	5190000	6	2.25837	Central
2A	5290000	9	-1.68129	Central
2A	5300000	7	1.21806	Central
2A	5310000	10	0.986619	Central
2A	5380000	1	-0.995377	Central
2A	5400000	2	-0.880477	Central
2A	5410000	6	0.571232	Central
2A	5480000	2	-1.00042	Central
2A	5520000	18	0.0456782	Central
2A	5600000	18	-0.271726	Central
2A	5610000	4	-0.0663171	Central
2A	5630000	12	0.777732	Central
2A	5640000	6	-0.323327	Central
2A	5670000	2	-0.993259	Central
2A	5690000	12	0.688485	Central
2A	5710000	6	0.802674	Central
2A	5770000	23	-0.539669	Central
2A	5780000	16	0.282166	Central
2A	5910000	2	1.30309	Central
2A	5920000	37	0.952762	Central
2A	5930000	22	-1.55588	Central
2A	5950000	9	-0.75703	Central
2A	5960000	1	-0.572782	Central
2A	5970000	4	-0.38529	Central
2A	6190000	1	-0.654639	Central
2A	6240000	6	-1.66055	Central
2A	6260000	5	-0.550099	Central
2A	6290000	19	-1.60693	Central
2A	6320000	5	-0.343972	Central
2A	6410000	2	0.314915	Central
2A	6420000	7	-1.34607	Central
2A	6430000	1	-0.995377	Central
2A	6490000	28	0.503225	Central
2A	6500000	1	-0.413061	Central
2A	6510000	2	0.624616	Central
2A	6960000	33	-2.1728	Central
2A	6990000	3	-0.783099	Central
2A	7000000	1	-0.908196	Central
2A	7220000	40	-0.520505	Central
2A	7300000	4	-1.36193	Central
2A	7320000	20	0.177701	Central
2A	7380000	7	-1.83946	Central
2A	7410000	6	-1.88738	Central
2A	7430000	20	-1.86425	Central
2A	7440000	26	0.696918	Central
2A	7510000	49	-1.20529	Central
2A	7540000	3	2.1541	Central
2A	7680000	2	1.46824	Central
2A	7690000	16	0.0962775	Central
2A	7720000	7	1.61462	Central
2A	7730000	27	-1.47286	Central
2A	7740000	14	-0.919978	Central
2A	7750000	3	-1.1619	Central
2A	7780000	1	-0.654639	Central
2A	7790000	41	-0.669585	Central
2A	7800000	10	-0.901553	Central
2A	7920000	3	-0.733173	Central
2A	7970000	2	-0.993259	Central
2A	8040000	11	-1.4693	Central
2A	8050000	17	-0.937401	Central
2A	8130000	3	-1.1612	Central
2A	8140000	25	-0.575018	Central
2A	8150000	2	0.0929329	Central
2A	8160000	16	-1.52	Central
2A	8170000	7	-0.559061	Central
2A	8180000	10	0.263297	Central
2A	8190000	4	-1.32626	Central
2A	8310000	7	-1.30258	Central
2A	8340000	2	-1.05099	Central
2A	8360000	1	-0.654639	Central
2A	8370000	7	0.590658	Central
2A	8410000	11	-0.978386	Central
2A	8440000	5	-1.24884	Central
2A	8550000	9	-1.81636	Central
2A	8620000	13	0.394505	Central
2A	8630000	24	-0.491692	Central
2A	8700000	14	0.0738473	Central
2A	8710000	6	-0.907977	Central
2A	8720000	4	-0.360062	Central
2A	8730000	1	-0.995377	Central
2A	8900000	4	-1.73484	Central
2A	9050000	3	2.15131	Central
2A	9080000	1	-0.908196	Central
2A	9090000	5	-1.67207	Central
2A	9110000	25	-0.413243	Central
2A	9120000	16	-0.833062	Central
2A	9130000	2	0.36504	Central
2A	9140000	2	-1.10694	Central
2A	9310000	1	-0.908196	Central
2A	9340000	16	-2.03854	Central
2A	9380000	4	-1.14097	Central
2A	9670000	1	-0.737827	Central
2A	9770000	11	-0.82543	Central
2A	9830000	6	-0.631697	Central
2A	9880000	10	-1.73684	Central
2A	9900000	1	1.63735	Central
2A	9930000	3	-1.29631	Central
2A	9940000	14	0.524053	Central
2A	9950000	9	2.15802	Central
2A	9980000	1	-0.335197	Central
2A	9990000	1	-0.995377	Central
2A	10040000	1	-0.737827	Central
2A	10080000	1	-0.995377	Central
2A	10150000	3	-1.5208	Central
2A	10260000	13	-2.11296	Central
2A	10370000	6	-0.413222	Central
2A	10380000	15	-1.72064	Central
2A	10480000	3	0.682184	Central
2A	10500000	17	0.512133	Central
2A	10510000	5	-1.574	Central
2A	10580000	3	-0.65078	Central
2A	10590000	1	-0.335197	Central
2A	10720000	2	2.02275	Central
2A	10730000	10	-1.18335	Central
2A	10750000	6	-1.44339	Central
2A	10840000	1	-0.995377	Central
2A	10970000	7	-1.71764	Central
2A	10990000	14	-2.04613	Central
2A	11000000	1	-0.908196	Central
2A	11330000	4	-1.50866	Central
2A	11370000	15	-2.3929	Central
2A	11540000	18	-1.66331	Central
2A	11620000	14	0.193818	Central
2A	11630000	40	-1.20938	Central
2A	11640000	22	-0.296375	Central
2A	11700000	12	-0.451345	Central
2A	11710000	57	0.2656	Central
2A	11740000	93	-0.370533	Central
2A	11770000	3	-1.47507	Central
2A	11780000	1	-0.737827	Central
2A	11800000	25	-1.45115	Central
2A	11820000	42	-2.0951	Central
2A	11830000	62	2.10884	Central
2A	11840000	7	-0.89146	Central
2A	11860000	22	-2.29412	Central
2A	11870000	8	-1.52552	Central
2A	11880000	1	-0.572782	Central
2A	11900000	20	-1.05569	Central
2A	11910000	46	-1.22094	Central
2A	11980000	6	-0.0310015	Central
2A	11990000	52	-0.586652	Central
2A	12000000	1	-0.995377	Central
2A	12020000	5	-1.13779	Central
2A	12040000	2	0.389655	Central
2A	12070000	1	-0.654639	Central
2A	12100000	1	-0.335197	Central
2A	12140000	5	-0.757225	Central
2A	12150000	3	-1.43003	Central
2A	12160000	31	-1.76116	Central
2A	12170000	28	-1.05418	Central
2A	12180000	22	-0.0571769	Central
2A	12190000	83	-1.43782	Central
